id,source,name,address,place_type,price_level,user_rating_google,user_rating_yelp,avg_user_rating,latitude,longitude,nearest_metro_station_name,nearest_metro_distance_meters,nearest_metro_route_codes,detail_url
k2l0thsqDUJpwI6-EWM5Dg,yelp,Amai Tea & Cafe,"20210 Anza Ave, Torrance, CA",cafe,2,,4.4,4.4,33.848792710409725,-118.3618051521494,Hawthorne / Del Amo,733.5,344,https://www.yelp.com/biz/amai-tea-and-cafe-torrance-2?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
BqGbLojeVka5411qypg6sA,yelp,Ezzat Hookah Lounge,"10445 Venice Blvd, Los Angeles, CA",cafe,2,,4.4,4.4,34.017354406477,-118.409642867618,Venice / Girard,131.6,33,https://www.yelp.com/biz/ezzat-hookah-lounge-los-angeles-2?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
QDLYBoz1gjFBqtBc0eVAPQ,yelp,Blossom Market Hall,"264 S Mission Dr, San Gabriel, CA",cafe,2,,4.4,4.4,34.09897693369316,-118.10897222680184,Main / Chapel,1404.3,78,https://www.yelp.com/biz/blossom-market-hall-san-gabriel?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
h2u-coGd8WWClyU3b7jf8w,yelp,Met Her At A Bar,"759 S La Brea Ave, Los Angeles, CA",cafe,2,,4.4,4.4,34.0609448,-118.3446759,La Brea / 8th,32.4,212,https://www.yelp.com/biz/met-her-at-a-bar-los-angeles-2?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
omUt_BKMikgTwxrz5OM6gQ,yelp,Homegirl Cafe,"130 W Bruno St, Los Angeles, CA",cafe,2,,4.4,4.4,34.0624,-118.23564,Alameda / College,110.3,76,https://www.yelp.com/biz/homegirl-cafe-los-angeles-4?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
I8EMnlUoqoJYzq0RPDuUDQ,yelp,Blue Elephant Café,"2024 W Washington Blvd, Los Angeles, CA",cafe,2,,4.4,4.4,34.039753,-118.304004,Normandie / Washington,325.7,206,https://www.yelp.com/biz/blue-elephant-caf%C3%A9-los-angeles-2?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
Ano2tuyUPKS6iEWwmesisA,yelp,Meyers Manx Cafe,"6060 Wilshire Blvd, Los Angeles, CA",cafe,2,,4.4,4.4,34.06189,-118.36137,Fairfax / Wilshire,86.4,217,https://www.yelp.com/biz/meyers-manx-cafe-los-angeles?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
1K_oFkr9lE_p6VmJI8sruw,yelp,Café Montrose,"3459 N Verdugo Rd, Glendale, CA",cafe,2,,4.4,4.4,34.202054582734604,-118.22761734473276,Hollywood / New Hampshire Layover,12643.1,217,https://www.yelp.com/biz/caf%C3%A9-montrose-glendale?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
tJ6830Tw-uqIdH0piVBnbQ,yelp,Calidum Cafe,"271 E Orange Grove Ave, Burbank, CA",cafe,,,4.4,4.4,34.182865,-118.308924,Lankershim / Vineland,6286.1,224,https://www.yelp.com/biz/calidum-cafe-burbank-4?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
spkGVOcCdjqBJqT8E437sw,yelp,Gelato-go - El Segundo,"417 Main St, El Segundo, CA",cafe,,,4.4,4.4,33.921459,-118.4162087,Pacific Coast Highway / Grand,1865.3,232,https://www.yelp.com/biz/gelato-go-el-segundo-el-segundo?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
